,nb1,nb2,modèle,nb_params
0,50,5,ModelBaseline_OneVsRest,151555
1,50,5,ModelOneVsRest_AllShared,31355
2,50,5,ModelOneVsRest_SharedPrivate,46355
3,50,5,ModelOneVsRest_All_shared_2Per2,305490
4,50,5,ModelOneVsRest_SharedPrivate_2Per2,365745
5,50,5,ModelOneVsRest_SharedPrivate_2Per2wORandom,249761
6,50,5,ModelOneVsRest_SharedPrivate_3Per3,398365
7,50,5,ModelOneVsRest_SharedPrivate_4Per4,215495
8,50,5,hier,30455
9,50,5,hier_connected,30470
10,50,5,hier_fully_connected,30480
11,50,20,ModelBaseline_OneVsRest,155455
12,50,20,ModelOneVsRest_AllShared,35255
13,50,20,ModelOneVsRest_SharedPrivate,95255
14,50,20,ModelOneVsRest_All_shared_2Per2,320325
15,50,20,ModelOneVsRest_SharedPrivate_2Per2,561345
16,50,20,ModelOneVsRest_SharedPrivate_2Per2wORandom,367901
17,50,20,ModelOneVsRest_SharedPrivate_3Per3,691765
18,50,20,ModelOneVsRest_SharedPrivate_4Per4,411095
19,50,20,hier,31655
20,50,20,hier_connected,31715
21,50,20,hier_fully_connected,31755
22,50,50,ModelBaseline_OneVsRest,163255
23,50,50,ModelOneVsRest_AllShared,43055
24,50,50,ModelOneVsRest_SharedPrivate,193055
25,50,50,ModelOneVsRest_All_shared_2Per2,349995
26,50,50,ModelOneVsRest_SharedPrivate_2Per2,952545
27,50,50,ModelOneVsRest_SharedPrivate_2Per2wORandom,604181
28,50,50,ModelOneVsRest_SharedPrivate_3Per3,1278565
29,50,50,ModelOneVsRest_SharedPrivate_4Per4,802295
30,50,50,hier,35405
31,50,50,hier_connected,35555
32,50,50,hier_fully_connected,35655
33,50,100,ModelBaseline_OneVsRest,176255
34,50,100,ModelOneVsRest_AllShared,56055
35,50,100,ModelOneVsRest_SharedPrivate,356055
36,50,100,ModelOneVsRest_All_shared_2Per2,399445
37,50,100,ModelOneVsRest_SharedPrivate_2Per2,1604545
38,50,100,ModelOneVsRest_SharedPrivate_2Per2wORandom,997981
39,50,100,ModelOneVsRest_SharedPrivate_3Per3,2256565
40,50,100,ModelOneVsRest_SharedPrivate_4Per4,1454295
41,50,100,hier,45655
42,50,100,hier_connected,45955
43,50,100,hier_fully_connected,46155
44,50,150,ModelBaseline_OneVsRest,189255
45,50,150,ModelOneVsRest_AllShared,69055
46,50,150,ModelOneVsRest_SharedPrivate,519055
47,50,150,ModelOneVsRest_All_shared_2Per2,448895
48,50,150,ModelOneVsRest_SharedPrivate_2Per2,2256545
49,50,150,ModelOneVsRest_SharedPrivate_2Per2wORandom,1391781
50,50,150,ModelOneVsRest_SharedPrivate_3Per3,3234565
51,50,150,ModelOneVsRest_SharedPrivate_4Per4,2106295
52,50,150,hier,60905
53,50,150,hier_connected,61355
54,50,150,hier_fully_connected,61655
55,100,5,ModelBaseline_OneVsRest,303055
56,100,5,ModelOneVsRest_AllShared,62655
57,100,5,ModelOneVsRest_SharedPrivate,77655
58,100,5,ModelOneVsRest_All_shared_2Per2,610740
59,100,5,ModelOneVsRest_SharedPrivate_2Per2,671245
60,100,5,ModelOneVsRest_SharedPrivate_2Per2wORandom,463361
61,100,5,ModelOneVsRest_SharedPrivate_3Per3,706365
62,100,5,ModelOneVsRest_SharedPrivate_4Per4,370745
63,100,5,hier,60855
64,100,5,hier_connected,60870
65,100,5,hier_fully_connected,60880
66,100,20,ModelBaseline_OneVsRest,310705
67,100,20,ModelOneVsRest_AllShared,70305
68,100,20,ModelOneVsRest_SharedPrivate,130305
69,100,20,ModelOneVsRest_All_shared_2Per2,639825
70,100,20,ModelOneVsRest_SharedPrivate_2Per2,881845
71,100,20,ModelOneVsRest_SharedPrivate_2Per2wORandom,591251
72,100,20,ModelOneVsRest_SharedPrivate_3Per3,1022265
73,100,20,ModelOneVsRest_SharedPrivate_4Per4,581345
74,100,20,hier,62805
75,100,20,hier_connected,62865
76,100,20,hier_fully_connected,62905
77,100,50,ModelBaseline_OneVsRest,326005
78,100,50,ModelOneVsRest_AllShared,85605
79,100,50,ModelOneVsRest_SharedPrivate,235605
80,100,50,ModelOneVsRest_All_shared_2Per2,697995
81,100,50,ModelOneVsRest_SharedPrivate_2Per2,1303045
82,100,50,ModelOneVsRest_SharedPrivate_2Per2wORandom,847031
83,100,50,ModelOneVsRest_SharedPrivate_3Per3,1654065
84,100,50,ModelOneVsRest_SharedPrivate_4Per4,1002545
85,100,50,hier,68055
86,100,50,hier_connected,68205
87,100,50,hier_fully_connected,68305
88,100,100,ModelBaseline_OneVsRest,351505
89,100,100,ModelOneVsRest_AllShared,111105
90,100,100,ModelOneVsRest_SharedPrivate,411105
91,100,100,ModelOneVsRest_All_shared_2Per2,794945
92,100,100,ModelOneVsRest_SharedPrivate_2Per2,2005045
93,100,100,ModelOneVsRest_SharedPrivate_2Per2wORandom,1273331
94,100,100,ModelOneVsRest_SharedPrivate_3Per3,2707065
95,100,100,ModelOneVsRest_SharedPrivate_4Per4,1704545
96,100,100,hier,80805
97,100,100,hier_connected,81105
98,100,100,hier_fully_connected,81305
99,100,150,ModelBaseline_OneVsRest,377005
100,100,150,ModelOneVsRest_AllShared,136605
101,100,150,ModelOneVsRest_SharedPrivate,586605
102,100,150,ModelOneVsRest_All_shared_2Per2,891895
103,100,150,ModelOneVsRest_SharedPrivate_2Per2,2707045
104,100,150,ModelOneVsRest_SharedPrivate_2Per2wORandom,1699631
105,100,150,ModelOneVsRest_SharedPrivate_3Per3,3760065
106,100,150,ModelOneVsRest_SharedPrivate_4Per4,2406545
107,100,150,hier,98555
108,100,150,hier_connected,99005
109,100,150,hier_fully_connected,99305
110,200,5,ModelBaseline_OneVsRest,606055
111,200,5,ModelOneVsRest_AllShared,125255
112,200,5,ModelOneVsRest_SharedPrivate,140255
113,200,5,ModelOneVsRest_All_shared_2Per2,1221240
114,200,5,ModelOneVsRest_SharedPrivate_2Per2,1282245
115,200,5,ModelOneVsRest_SharedPrivate_2Per2wORandom,890561
116,200,5,ModelOneVsRest_SharedPrivate_3Per3,1322365
117,200,5,ModelOneVsRest_SharedPrivate_4Per4,681245
118,200,5,hier,121655
119,200,5,hier_connected,121670
120,200,5,hier_fully_connected,121680
121,200,20,ModelBaseline_OneVsRest,621205
122,200,20,ModelOneVsRest_AllShared,140405
123,200,20,ModelOneVsRest_SharedPrivate,200405
124,200,20,ModelOneVsRest_All_shared_2Per2,1278825
